,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Bati,ET,11.1833,40.0167,68.56,60,100,11.61,overcast clouds
141,Cidreira,BR,-30.1811,-50.2056,57.99,75,7,12.44,clear sky
142,Klaksvik,FO,62.2266,-6.589,49.12,88,8,11.99,clear sky
143,Barras,BR,-4.2444,-42.2944,84.16,55,90,9.75,overcast clouds
144,Ostrovnoy,RU,68.0531,39.5131,58.33,69,83,5.7,broken clouds
145,Miri,MY,4.4148,114.0089,76.1,90,100,4.54,overcast clouds
146,Kodiak,US,57.79,-152.4072,69.31,52,1,5.75,clear sky
147,Bhainsa,IN,26.9548,76.9012,90.39,60,94,11.12,overcast clouds
148,Touros,BR,-5.1989,-35.4608,74.3,82,40,13.06,scattered clouds
149,Christchurch,NZ,-43.5333,172.6333,52.0,87,90,1.99,overcast clouds
150,Arlit,NE,18.7369,7.3853,92.05,26,5,9.91,clear sky
151,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.58,73,45,14.36,scattered clouds
152,Dingle,PH,10.9995,122.6711,77.09,90,82,8.39,light rain
153,De-Kastri,RU,51.4667,140.7833,71.24,60,72,8.55,broken clouds
154,Sorland,NO,67.667,12.6934,52.99,83,91,12.24,overcast clouds
155,Fort Smith,US,35.3859,-94.3986,91.38,69,40,10.36,thunderstorm
156,Minas,UY,-34.3759,-55.2377,48.67,69,5,14.85,clear sky
157,Walvis Bay,NA,-22.9575,14.5053,74.08,31,3,10.49,clear sky
158,Bull Savanna,JM,17.8868,-77.5902,82.94,69,39,15.43,scattered clouds
159,Rairangpur,IN,22.2676,86.1751,79.12,87,100,1.81,overcast clouds
160,Zhigansk,RU,66.7697,123.3711,49.69,58,73,16.82,broken clouds
161,Severo-Kurilsk,RU,50.6789,156.125,56.71,97,100,2.01,overcast clouds
162,Okhotsk,RU,59.3833,143.3,61.34,80,29,3.76,scattered clouds
163,Kysyl-Syr,RU,63.8986,122.7617,55.92,69,67,6.64,broken clouds
164,Marechal Candido Rondon,BR,-24.5561,-54.0567,57.25,63,8,5.75,clear sky
165,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,5.75,broken clouds
166,Erdenet,MN,49.0333,104.0833,62.6,85,99,2.77,overcast clouds
167,Lagoa,PT,39.05,-27.9833,67.3,71,12,11.88,few clouds
168,College,US,64.8569,-147.8028,80.58,47,75,9.22,haze
169,Cherskiy,RU,68.75,161.3,42.66,88,100,18.57,light rain
170,Cervo,ES,43.6702,-7.4101,67.19,90,8,11.65,clear sky
171,Asfi,MA,32.2994,-9.2372,72.63,74,0,17.52,clear sky
172,San Cristobal,VE,7.7669,-72.225,80.78,64,41,5.03,scattered clouds
173,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,9.22,broken clouds
174,Angoche,MZ,-16.2325,39.9086,67.03,88,1,11.07,clear sky
175,Kattivakkam,IN,13.2167,80.3167,80.69,75,100,13.15,overcast clouds
176,Sitka,US,57.0531,-135.33,60.69,77,90,4.61,light rain
177,Umm Kaddadah,SD,13.6017,26.6876,88.32,35,100,6.24,overcast clouds
178,Namibe,AO,-15.1961,12.1522,66.33,93,9,0.74,clear sky
179,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,82.44,27,0,3.62,clear sky
180,Aklavik,CA,68.2191,-135.0107,82.31,30,41,9.55,scattered clouds
181,New Norfolk,AU,-42.7826,147.0587,48.58,73,63,5.01,broken clouds
182,Ribeira Grande,PT,38.5167,-28.7,68.58,71,54,10.6,broken clouds
183,Ape,LV,57.5393,26.6929,63.72,76,86,3.13,overcast clouds
184,Maumere,ID,-8.6199,122.2111,76.3,80,88,9.04,overcast clouds
185,Juba,SS,4.8517,31.5825,69.93,86,100,2.06,light rain
186,Kaitangata,NZ,-46.2817,169.8464,45.81,89,100,6.15,overcast clouds
187,Manokwari,ID,-0.8667,134.0833,75.52,92,100,6.31,light rain
188,Luderitz,NA,-26.6481,15.1594,65.82,35,0,6.69,clear sky
189,Ochamchira,GE,42.7121,41.4721,73.85,81,0,3.49,clear sky
190,Zhicheng,CN,30.2956,111.5047,76.14,92,14,3.27,light rain
191,Hit,IQ,33.6416,42.8251,96.33,11,0,10.67,clear sky
192,Jinan,CN,36.6683,116.9972,77.77,79,35,4.47,light rain
193,Kruisfontein,ZA,-34.0033,24.7314,45.88,75,0,5.28,clear sky
194,Ahipara,NZ,-35.1667,173.1667,61.0,83,99,17.34,overcast clouds
195,Marshall,US,34.3834,-86.3333,80.78,68,40,4.0,scattered clouds
196,Yaan,NG,7.3833,8.5667,72.09,97,84,4.27,broken clouds
