City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Chokurdakh,RU,2021-07-11 22:02:39,70.6333,147.9167,40.42,81,100,16.2
106,Airai,TL,2021-07-11 22:02:40,-8.9266,125.4092,55.18,55,99,4.21
107,Turayf,SA,2021-07-11 22:02:40,31.6725,38.6637,83.89,31,0,17.43
108,Khorramshahr,IR,2021-07-11 22:02:40,30.4397,48.1664,101.84,10,0,11.12
109,Fatehpur,IN,2021-07-11 22:02:41,25.9333,80.8,85.32,69,99,12.37
110,Solnechnyy,RU,2021-07-11 22:02:41,50.7214,136.6319,69.87,92,90,2.13
111,Broken Hill,AU,2021-07-11 22:02:41,-31.95,141.4333,48.47,48,61,12.68
112,Bambous Virieux,MU,2021-07-11 21:57:46,-20.3428,57.7575,71.22,78,75,12.66
113,Narrabri,AU,2021-07-11 22:02:42,-30.3167,149.7833,45.52,86,0,1.99
114,Sioux Lookout,CA,2021-07-11 22:02:42,50.1001,-91.917,80.98,22,1,5.39
115,Tabou,CI,2021-07-11 22:02:42,4.423,-7.3528,76.5,80,37,8.14
116,Putina,PE,2021-07-11 22:02:43,-15.4667,-69.4333,47.84,62,2,12.77
117,Speightstown,BB,2021-07-11 22:02:43,13.25,-59.65,80.33,82,79,20.22
118,Torbay,CA,2021-07-11 22:02:44,47.6666,-52.7314,62.49,93,100,4.63
119,Maragogi,BR,2021-07-11 22:02:44,-9.0122,-35.2225,74.8,85,15,8.19
120,Senneterre,CA,2021-07-11 22:02:44,48.3835,-77.2328,74.82,43,58,5.53
121,Limbang,MY,2021-07-11 22:02:44,4.75,115.0,77.11,98,100,2.35
122,Woodstock,CA,2021-07-11 22:00:31,43.1334,-80.7497,66.65,95,100,1.01
123,College,US,2021-07-11 22:02:45,64.8569,-147.8028,70.0,39,100,5.06
124,Tanete,ID,2021-07-11 22:02:45,-3.9443,119.7848,74.34,94,99,8.81
125,Nikolskoye,RU,2021-07-11 22:02:46,59.7035,30.7861,69.69,85,1,4.38
126,Hilo,US,2021-07-11 22:02:03,19.7297,-155.09,78.8,82,100,3.0
127,Berlevag,NO,2021-07-11 22:02:46,70.8578,29.0864,50.02,77,6,11.36
128,Ponta Do Sol,PT,2021-07-11 22:02:46,32.6667,-17.1,74.03,70,2,5.93
129,Vardo,NO,2021-07-11 22:02:47,70.3705,31.1107,48.4,80,22,14.07
130,Hisua,IN,2021-07-11 22:02:47,24.8333,85.4167,81.3,85,78,4.94
131,Ekangala,ZA,2021-07-11 22:02:47,-25.6962,28.7492,51.3,35,0,3.47
132,Carnarvon,AU,2021-07-11 22:02:48,-24.8667,113.6333,69.76,87,90,21.77
133,Diffa,NE,2021-07-11 22:02:48,13.3154,12.6113,84.18,55,85,16.75
134,Fort Frances,CA,2021-07-11 22:01:35,48.5999,-93.4003,87.17,42,5,1.01
135,Aykhal,RU,2021-07-11 21:58:17,66.0,111.5,46.89,89,96,3.2
136,East London,ZA,2021-07-11 22:02:48,-33.0153,27.9116,65.91,27,0,8.3
137,Hirara,JP,2021-07-11 22:02:49,24.8,125.2833,82.67,89,75,4.61
138,Calvia,ES,2021-07-11 22:02:49,39.5657,2.5062,79.92,32,58,13.04
139,Nanortalik,GL,2021-07-11 21:57:53,60.1432,-45.2371,41.41,99,100,2.8
140,Tyrma,RU,2021-07-11 22:02:50,50.0833,132.1667,68.13,94,34,1.32
141,Tiruchchendur,IN,2021-07-11 22:02:50,8.4833,78.1167,80.38,72,100,12.35
142,Cape Town,ZA,2021-07-11 21:58:31,-33.9258,18.4232,57.88,83,75,3.0
143,Spornoye,RU,2021-07-11 22:02:50,50.8448,37.2913,73.42,88,28,6.82
144,Hami,CN,2021-07-11 22:02:51,42.8,93.45,81.97,34,31,10.11
145,Geraldton,AU,2021-07-11 21:58:28,-28.7667,114.6,61.21,94,75,19.57
146,New Norfolk,AU,2021-07-11 22:02:51,-42.7826,147.0587,46.76,87,100,2.71
147,Lavrentiya,RU,2021-07-11 22:02:51,65.5833,-171.0,49.15,81,95,5.77
148,Portland,US,2021-07-11 21:59:03,45.5234,-122.6762,90.86,44,0,1.01
149,Muravlenko,RU,2021-07-11 22:02:52,63.7898,74.523,52.99,62,90,9.24
150,Cidreira,BR,2021-07-11 21:59:18,-30.1811,-50.2056,60.3,90,0,6.08
151,Mindelo,CV,2021-07-11 22:02:52,16.8901,-24.9804,74.75,64,40,13.8
152,Port Elizabeth,ZA,2021-07-11 22:02:53,-33.918,25.5701,57.36,53,0,5.55
153,Voyvozh,RU,2021-07-11 22:02:53,62.892,54.9635,49.93,95,80,5.7
154,Rawson,AR,2021-07-11 22:02:53,-43.3002,-65.1023,51.58,49,100,8.7
155,Hailar,CN,2021-07-11 22:02:54,49.2,119.7,62.26,71,5,6.31
156,Aljezur,PT,2021-07-11 22:02:54,37.3191,-8.8033,64.24,89,11,12.75
157,Westport,US,2021-07-11 22:01:12,41.1415,-73.3579,80.02,86,100,1.01
158,La Union,PE,2021-07-11 22:02:54,-5.4,-80.75,75.33,60,57,14.97
159,Port Alfred,ZA,2021-07-11 22:02:55,-33.5906,26.891,64.06,30,0,8.37
160,Quatre Cocos,MU,2021-07-11 22:02:55,-20.2078,57.7625,71.1,65,81,17.74
161,Rantepao,ID,2021-07-11 22:02:55,-2.9701,119.8978,66.47,98,100,0.67
162,Srednekolymsk,RU,2021-07-11 22:02:56,67.45,153.6833,78.62,35,1,22.01
163,Inta,RU,2021-07-11 22:02:56,66.0317,60.1659,39.6,78,40,8.57
164,Esperance,AU,2021-07-11 22:02:56,-33.8667,121.9,48.7,76,71,16.4
165,Saint-Philippe,RE,2021-07-11 22:02:57,-21.3585,55.7679,67.55,77,59,11.21
166,Bereda,ES,2021-07-11 22:02:57,43.2686,-7.5406,59.41,86,99,3.11
167,Gebre Guracha,ET,2021-07-11 22:02:57,9.8,38.4,51.85,89,75,2.51
168,Nadvoitsy,RU,2021-07-11 22:02:58,63.8667,34.3167,63.84,87,34,3.11
169,Shubarshi,KZ,2021-07-11 22:02:58,48.5872,57.1869,73.08,48,52,4.76
170,Tyukalinsk,RU,2021-07-11 22:02:58,55.8732,72.1967,57.07,98,92,6.53
171,Dingle,PH,2021-07-11 22:02:58,10.9995,122.6711,76.75,90,40,4.88
172,Bredasdorp,ZA,2021-07-11 22:02:59,-34.5322,20.0403,47.3,69,42,5.46
173,Ilulissat,GL,2021-07-11 22:02:59,69.2167,-51.1,48.22,57,67,6.91
174,Bengkulu,ID,2021-07-11 22:03:00,-3.8004,102.2655,75.13,88,100,4.72
175,Krasnyy Chikoy,RU,2021-07-11 22:03:00,50.3643,108.7512,61.86,96,100,3.74
176,Upernavik,GL,2021-07-11 22:03:00,72.7868,-56.1549,39.0,72,9,13.35
177,Longyearbyen,SJ,2021-07-11 22:03:01,78.2186,15.6401,40.84,81,40,12.66
