City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Huilong,CN,77.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
234,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
235,Grand-Santi,GF,75.79,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
236,Kenai,US,77.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
237,Port Blair,IN,80.6,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
238,Dire Dawa,ET,69.4,overcast clouds,9.5931,41.8661,Samrat Hotel
239,Alibag,IN,78.87,light rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
240,Yzeure,FR,63.21,clear sky,46.5644,3.355,Mercure Moulins Centre - Hôtel de Paris
246,Komsomolskiy,UZ,72.82,overcast clouds,40.4272,71.7189,Ikathouse
247,Peniche,PT,67.73,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
248,Kaseda,JP,75.85,broken clouds,31.4167,130.3167,Sun Stay Kaseda
250,Arraial Do Cabo,BR,70.57,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
251,Celestun,MX,81.79,broken clouds,20.8667,-90.4,Posada Lilia
256,Abeche,TD,78.66,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
261,Barcelona,ES,76.44,few clouds,41.3888,2.159,Axel Hotel Barcelona
263,Broome,US,81.07,overcast clouds,42.2506,-75.833,Chenango Valley State Park
264,Akdepe,TM,78.8,clear sky,42.0551,59.3788,Мой дом
266,Ambulu,ID,70.83,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
267,Kavaratti,IN,82.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
269,Wuan,CN,75.74,few clouds,31.6836,112.0044,武镇大酒店
270,Alexandria,EG,79.23,clear sky,31.2156,29.9553,Royal Crown Hotel
273,Sola,VU,81.14,few clouds,-13.8833,167.55,Leumerus Bungalows
274,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
276,Kongolo,CD,74.12,broken clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
278,Ottumwa,US,83.08,few clouds,41.02,-92.4113,Hampton Inn Ottumwa
279,Manjeshwar,IN,74.35,overcast clouds,12.7194,74.8861,SOOFINAGAR
280,Padang,ID,75.65,few clouds,-0.9492,100.3543,Mercure Padang
282,Le Port,RE,69.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
286,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
288,Hualmay,PE,66.33,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
289,Torbay,CA,68.77,overcast clouds,47.6666,-52.7314,Gallows Cove
291,Leh,IN,65.03,clear sky,34.1667,77.5833,Hotel Ladakh Greens
294,Jalu,LY,79.92,clear sky,29.0331,21.5482,صاحبة الفخامة
295,Katsuura,JP,84.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
297,Marystown,CA,60.4,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
302,Tongliao,CN,75.11,broken clouds,43.6125,122.2653,Meirujia Hotel
304,Kiomboi,TZ,60.26,overcast clouds,-4.2667,34.3667,Reyd's Executive Lodge
305,Souillac,MU,68.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
306,Kirakira,SB,82.87,scattered clouds,-10.4544,161.9205,SanBiz Lodge
307,Sabang,ID,82.04,broken clouds,5.8933,95.3214,Hotel Citra
309,Soyo,AO,71.74,broken clouds,-6.1349,12.3689,Hotel Mpampa
310,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
312,Jamsa,FI,63.32,clear sky,61.8642,25.19,Motel Patalahti
313,Axim,GH,76.3,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
314,Chabahar,IR,83.53,broken clouds,25.2919,60.643,هتل گدروشیا
316,Lata,PT,65.05,clear sky,40.1629,-8.3327,Casa Maquia
318,Hithadhoo,MV,82.02,few clouds,-0.6,73.0833,Scoop Guest House
319,Shelburne,CA,74.23,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
322,Ebebiyin,GQ,68.94,overcast clouds,2.1511,11.3353,Vallée-du-Ntem
324,Along,IN,74.64,overcast clouds,28.1667,94.7667,Hotel West
325,Itarema,BR,79.05,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Pasni,PK,83.19,scattered clouds,25.2631,63.471,Kashmiri Hotal
329,Karaton,ID,77.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
330,Dicabisagan,PH,79.23,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
331,U Thong,TH,82.24,overcast clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
332,Jambi,ID,72.12,clear sky,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
333,Makamba,BI,61.05,broken clouds,-4.1348,29.804,Inanzerwe Hotel
334,Sibolga,ID,74.26,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
337,Preili,LV,65.77,scattered clouds,56.2944,26.7246,Guest House Magones
338,Lima,PE,61.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
341,Shu,KZ,69.22,clear sky,43.5983,73.7614,Shyngyzkhan
344,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
346,Clonakilty,IE,65.41,clear sky,51.6231,-8.8706,Inchydoney Island Lodge & Spa
347,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
350,Hovd,MN,60.87,few clouds,48.0056,91.6419,Hotel Khovd
351,Fare,PF,79.72,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
352,Corinto,GR,83.62,clear sky,37.9407,22.9573,Ephira Hotel
353,Haapsalu,EE,67.01,clear sky,58.9431,23.5414,Fra Mare Thalasso Spa
354,Porto Belo,BR,65.97,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
357,Ciudad Bolivar,VE,84.07,scattered clouds,8.1222,-63.5497,Hotel Edi
358,Pytalovo,RU,67.5,broken clouds,57.0679,27.9138,Hotel Dubrava
360,Bacolod,PH,78.37,broken clouds,10.6667,122.95,Planta Hotel & Residences
364,Fairbanks,US,82.02,haze,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
368,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
369,North Bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
370,Kisangani,CD,71.33,overcast clouds,0.5167,25.2,Grand Ramela Hotel
372,Lugovaya,RU,73.67,clear sky,56.05,37.4833,Lut
375,Kalmar,SE,71.96,clear sky,56.6616,16.3616,First Hotel Witt
376,Fukue,JP,79.09,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
378,Khimki,RU,73.98,clear sky,55.9017,37.4375,Kurkino Apart Hotel
385,Kendari,ID,71.98,overcast clouds,-3.945,122.4989,Hotel Wixel
390,Vila,PT,70.7,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
391,Xinglongshan,CN,75.38,clear sky,43.9561,125.4661,Fashion Hotel
392,Narwar,IN,83.17,light rain,25.65,77.9,हनुमान मन्दिर
399,Aguimes,ES,68.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
400,Flin Flon,CA,72.36,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
402,Pandan,PH,81.01,overcast clouds,14.0453,124.1694,Bonifacio Lodge
408,Novo Aripuana,BR,81.73,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
410,Jining,CN,79.0,broken clouds,35.405,116.5814,Yunhe Star Hotel
411,Abha,SA,71.85,scattered clouds,18.2164,42.5053,Abha Hotel
412,Muisne,EC,76.28,overcast clouds,0.6,-80.0333,Quinta Samay
413,Shache,CN,78.22,scattered clouds,38.4167,77.2406,Delong Hotel
415,Oktyabrskiy,RU,63.09,scattered clouds,54.4815,53.471,Уязы-Тау гостиница
416,Naze,JP,79.72,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
418,Kutum,SD,76.39,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
419,Joao Camara,BR,72.64,broken clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
420,Barcelos,PT,81.28,clear sky,41.5388,-8.6151,Hotel Do Terço
